_id,rating,image,title,writer,released,description,__v
5f8ca23eea55d3284e4b2b52,42,https://mycima.io/wp-content/uploads/2020/10/%D8%A8%D9%88%D8%B3%D8%AA%D8%B1-%D8%A7%D9%84%D9%85%D9%88%D9%82%D8%B9-2-370x468.png,"Family of Strangers
",Heisa byôtô,2009,"He treats a group of patients from different backgrounds, illnesses, and age groups at a psychiatric clinic in Nagano Prefecture, Japan. Their cases range from a criminal case to just social issues. But things take a darker turn when a minor girl with a bleak past joins them.",0
5f8ca266ea55d3284e4b2b53,63,https://mycima.io/wp-content/uploads/2020/10/MV5BZjhlODhkMzAtMjQ0YS00MDgwLWI0NTYtMTQ5ZTJmMDM4MjNiXkEyXkFqcGdeQXVyMTAyMzYwNzgw._V1_UY12001272596022-370x502.jpg,Antigone,Антигона (Russia),2015,"In helping her brother escape from prison, Antigone confronts the authorities: the police, the justice and criminal system, and the father of her friend Haemon.",0
5f8ca28bea55d3284e4b2b54,85,https://mycima.io/wp-content/uploads/2020/09/%D9%81%D9%8A%D9%84%D9%85-The-Nest-2020-351x520.jpg, The Nest 2020,Businessman,2020,"
The life of a businessman and his American family begins to take a twisted turn after moving into an English country mansion.",0
5f8ca2b3ea55d3284e4b2b55,25,https://mycima.io/wp-content/uploads/2020/09/Vratar-galaktiki-2020-363x520.jpg,Vratar galaktiki,Fratar Galactica,2019,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
5f8ca2d5ea55d3284e4b2b56,86,https://mycima.io/wp-content/uploads/2020/10/A-Choo-2020-370x520.jpg,A Choo,Mandarin,2014,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
5f8ca2ecea55d3284e4b2b57,85,https://mycima.io/wp-content/uploads/2020/10/MV5BMmRhMjNmNDctMDQ4Yy00MjVmLWE4ODYtYTk4MGU0MGFjNTg0XkEyXkFqcGdeQXVyMjU2MjQ2NjI@._V1_UY1200754611818-367x520.jpg,"The Dig
",Mandarin,2013,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
5f8ca314ea55d3284e4b2b58,45,https://mycima.io/wp-content/uploads/2020/10/MV5BMTczNDg5NDAzN15BMl5BanBnXkFtZTgwMDAzMjE3MjE@._V1_UY12001450762464-365x520.jpg,The Hidden Card,Mandarin,2013,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
5f8ca325ea55d3284e4b2b59,45,https://mycima.io/wp-content/uploads/2020/10/Friendsgiving-2020-351x520.jpg,Friends,Mandarin,2013,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
5f8ca334ea55d3284e4b2b5a,65,https://mycima.io/wp-content/uploads/2020/10/Survival-Guide-2020-346x520.jpg,"Survival Guide
",Mandarin,2013,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
5f8ca344ea55d3284e4b2b5b,35,https://mycima.io/wp-content/uploads/2020/10/Cagefighter-2020-1-352x520.jpg,Cagefigh,Mandarin,2013,Watch the action and science fiction movie Vratar galaktiki 2020 dubbed in 1080p WEBRip Watch online directly and download it directly,0
